timestamp,moderator,user,action,extra
2025-10-12 12:15:14,-,7883597300,Користувач хоче дізнатись чий пост,
2025-10-12 12:15:16,-,7883597300,Користувач надіслав посилання на пост,msg_id=28
2025-10-12 12:15:17,-,7883597300,Користувачу надіслано інструкцію для оплати,"action=info, msg_id=28, price=25"
2025-10-12 12:15:26,-,7883597300,Доказ оплати відправлено модераторам,"target_msg_id=28, action=info"
2025-10-12 12:15:37,8063971330,7883597300,Модератор підтвердив оплату і відправив інформацію користувачу,msg_id=28
2025-10-12 12:16:06,8063971330,7883597300,Модератор підтвердив оплату і відправив інформацію користувачу,msg_id=28
2025-10-12 12:16:10,-,7883597300,Користувач хоче видалити пост,
2025-10-12 12:16:13,-,7883597300,Користувач надіслав посилання на пост,msg_id=28
2025-10-12 12:16:14,-,7883597300,Користувачу надіслано інструкцію для оплати,"action=delete, msg_id=28, price=50"
2025-10-12 12:16:18,-,7883597300,Доказ оплати відправлено модераторам,"target_msg_id=28, action=delete"
2025-10-12 12:16:21,8063971330,7883597300,Модератор підтвердив оплату і видалив пост,msg_id=28
2025-10-12 13:35:06,-,5261591540,Початок роботи з ботом,
2025-10-12 13:35:14,-,5261591540,Користувач хоче дізнатись чий пост,
2025-10-12 18:33:08,-,8481913383,Початок роботи з ботом,
2025-10-12 18:33:11,-,8481913383,Користувач хоче відправити пост,
2025-10-12 18:33:35,-,8481913383,Пост відправлено на модерацію,post_id=1
2025-10-12 18:33:44,.,8481913383,Пост схвалено модератором,"post_id=1, channel_msg_id=29"
2025-10-12 18:34:38,-,8481913383,Користувач хоче дізнатись чий пост,
2025-10-12 18:34:53,-,8481913383,Пост відправлено на модерацію,post_id=2
2025-10-12 18:35:04,-,8481913383,Користувач хоче дізнатись чий пост,
2025-10-12 18:35:17,-,8481913383,Користувач надіслав посилання на пост,msg_id=2133
2025-10-12 18:35:19,-,8481913383,Пост не знайдено в базі,msg_id=2133
2025-10-12 18:40:10,.,8481913383,Пост відхилено модератором,post_id=2
2025-10-13 02:35:06,-,8063971330,Початок роботи з ботом,
2025-10-13 02:40:41,-,8063971330,Користувач хоче відправити пост,
2025-10-13 02:41:00,-,8063971330,Пост відправлено на модерацію,post_id=1
2025-10-13 02:41:58,.,8063971330,Пост схвалено модератором,"post_id=1, channel_msg_id=31"
2025-10-13 02:45:28,-,8063971330,Користувач хоче дізнатись чий пост,
2025-10-13 02:45:30,-,8063971330,Користувач хоче видалити пост,
2025-10-13 02:54:24,-,7883597300,Користувач хоче відправити пост,
2025-10-13 02:54:28,-,7883597300,Користувач хоче видалити пост,
2025-10-13 02:54:28,-,7883597300,Користувач хоче дізнатись чий пост,
2025-10-13 02:54:29,-,7883597300,Користувач хоче видалити пост,
2025-10-13 02:54:29,-,7883597300,Користувач хоче дізнатись чий пост,
2025-10-13 02:54:29,-,7883597300,Користувач хоче відправити пост,
2025-10-13 02:54:29,-,7883597300,Користувач хоче відправити пост,
2025-10-13 02:54:30,-,7883597300,Користувач хоче дізнатись чий пост,
2025-10-13 02:54:30,-,7883597300,Користувач хоче видалити пост,
2025-10-13 02:54:30,-,7883597300,Користувач хоче видалити пост,
2025-10-13 02:54:30,-,7883597300,Користувач хоче видалити пост,
2025-10-13 02:54:31,-,7883597300,Користувач хоче відправити пост,
2025-10-13 02:54:31,-,7883597300,Користувач хоче видалити пост,
2025-10-13 02:54:31,-,7883597300,Користувач хоче видалити пост,
2025-10-13 02:54:31,-,7883597300,Користувач хоче видалити пост,
2025-10-13 02:54:32,-,7883597300,Користувач хоче відправити пост,
2025-10-13 02:54:32,-,7883597300,Користувач хоче відправити пост,
2025-10-13 02:54:32,-,7883597300,Користувач хоче дізнатись чий пост,
2025-10-13 02:54:32,-,7883597300,Користувач хоче видалити пост,
2025-10-13 02:54:32,-,7883597300,Користувач хоче дізнатись чий пост,
2025-10-13 02:54:33,-,7883597300,Користувач хоче відправити пост,
2025-10-13 02:54:33,-,7883597300,Користувач хоче видалити пост,
2025-10-13 02:54:33,-,7883597300,Користувач хоче видалити пост,
2025-10-13 02:54:34,-,7883597300,Користувач хоче видалити пост,
2025-10-13 03:17:22,-,7883597300,Користувач хоче відправити пост,
2025-10-13 03:42:40,-,8063971330,Початок роботи з ботом,
2025-10-13 03:42:44,-,8063971330,Користувач хоче відправити пост,
2025-10-13 03:43:14,-,8063971330,Пост відправлено на модерацію,post_id=2
2025-10-13 03:43:31,.,8063971330,Пост відхилено модератором,post_id=2
2025-10-13 03:44:10,-,8063971330,Пост відправлено на модерацію,post_id=3
2025-10-13 03:44:41,.,8063971330,Модератор запросив докази,post_id=3
2025-10-13 04:00:50,-,8063971330,Пост відправлено на модерацію,"post_id=1, album=3"
2025-10-13 04:01:13,.,8063971330,Пост відхилено модератором,post_id=1
2025-10-13 06:28:23,-,7883597300,Користувач хоче відправити пост,
2025-10-13 07:29:31,-,7883597300,Користувач хоче відправити пост,
2025-10-13 06:29:59,-,7883597300,Користувач хоче дізнатись чий пост,
2025-10-13 06:30:16,-,7883597300,Користувач надіслав посилання на пост,msg_id=31
2025-10-13 06:30:17,-,7883597300,Користувачу надіслано інструкцію для оплати,"action=info, msg_id=31, price=25"
2025-10-13 06:38:09,-,7883597300,Початок роботи з ботом,
2025-10-13 06:38:30,-,7883597300,Користувач хоче відправити пост,
2025-10-13 06:44:13,-,7883597300,Користувач хоче відправити пост,
2025-10-13 06:44:21,-,7883597300,Користувач хоче відправити пост,
2025-10-13 06:44:45,-,7883597300,Користувач хоче дізнатись чий пост,
2025-10-13 06:44:55,-,7883597300,Користувач надіслав посилання на пост,msg_id=31
2025-10-13 06:44:56,-,7883597300,Користувачу надіслано інструкцію для оплати,"action=info, msg_id=31, price=25"
2025-10-13 06:45:01,-,7883597300,Доказ оплати відправлено модераторам,"target_msg_id=31, action=info"
2025-10-13 06:45:21,8063971330,7883597300,Модератор підтвердив оплату і відправив інформацію користувачу,msg_id=31
